City,avg_AQI,max_AQI,min_AQI,std_AQI,avg_PM2_5,avg_PM10,avg_AQI_monsoon,avg_AQI_summer,avg_AQI_winter,Cluster,Cluster_Name
bengaluru,53.612150366926876,500.0,7.616666666666667,39.56974261351912,31.978198403648804,85.24974329720479,54.14671653728534,28.45431575091575,72.54927051282051,0,Relatively Cleaner Cities
chennai,70.20819496846448,441.8672,2.1333333333333333,60.94883140406859,38.432505747126434,69.73396282527881,66.7069081297849,64.04624614010989,95.98399562937063,0,Relatively Cleaner Cities
delhi,205.7694640966241,500.0,20.33333333333333,131.44587467505642,114.17456701599558,212.47071389042614,233.79635424063116,83.07247019867549,323.07055911504426,1,Severe Hotspots
gwalior,118.62575083107848,450.47228,5.466666666666667,106.20612017751972,59.86538805136795,119.12204697986577,142.43408997315973,33.934209150326794,229.27902869886705,2,Intermittent Hotspots
hyderabad,49.60772126596335,175.25,2.2333333333333334,32.73202863690552,29.064286507495837,75.6123650528659,50.62527279521674,24.18110616184113,73.69632296296295,0,Relatively Cleaner Cities
jaipur,119.77965255543718,433.75316,13.5,77.85290886062842,60.80426592797784,133.80142303433,132.5058410709232,66.68300451645915,164.55990082787167,2,Intermittent Hotspots
kolkata,117.93564486675594,402.56816,4.583333333333334,106.13354692154482,59.20040426726558,119.6208338028169,107.58740354500087,41.74475791022811,235.19511804153615,2,Intermittent Hotspots
lucknow,167.72566953383796,458.9546,9.816666666666666,114.23247899666511,83.0721110500275,172.6820933087784,176.9546501903134,73.61132931605229,264.12464614023145,1,Severe Hotspots
mumbai,61.673919105192454,370.56653846153847,8.05,48.55708506786465,34.49223234624146,122.3622378014582,59.11075670430487,25.764606741573033,104.37685900291245,0,Relatively Cleaner Cities
visakhapatnam,85.19092597325155,346.6770769230769,3.1666666666666665,62.78286880161714,45.471384274640094,111.917526228603,90.20389978775884,51.11780732600732,139.83909557109558,0,Relatively Cleaner Cities
