feature,importance
PM2.5,0.8755912554736834
PM2.5_roll7_mean,0.014828024772432186
PM2.5_roll30_mean,0.014065226690035954
wind_speed_10m_max,0.007241399880261138
precipitation_sum,0.006611598128720796
PM2.5_roll7_std,0.0062451009783344846
PM10,0.005428778227626844
NO2,0.005346192609906958
temperature_2m_min,0.005123938044516014
O3,0.004305882831468004
NH3,0.0042696626014689385
PM2.5_lag30,0.004269333308365944
SO2,0.004216156822713169
AQI_lag1,0.004166755914327986
wind_speed_lag1,0.004120140525684936
PM2.5_lag1,0.004084443564063227
CO,0.004035826918739069
AQI_lag7,0.00350633241274277
humidity_lag1,0.003290889582293266
PM2.5_lag7,0.0031849982495294944
relative_humidity_2m_max,0.0031234618749947183
temp_max_lag1,0.00283294790484524
month,0.002801864804861874
temperature_2m_max,0.0027704333023728512
day_of_week,0.0016739240036083784
precip_lag1,0.0013758668019562001
year,0.0008814166730053815
season,0.0004668041660719365
is_weekend,0.0001413429313687392
